date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-09-2025,Maharashtra,Nashik,422004,3,2,0
01-09-2025,Maharashtra,Nashik,422005,2,0,0
01-09-2025,Maharashtra,Nashik,422010,3,4,0
01-09-2025,Maharashtra,Nashik,422011,2,0,0
01-09-2025,Maharashtra,Nashik,422204,4,2,0
01-09-2025,Maharashtra,Nashik,422210,4,2,0
01-09-2025,Maharashtra,Nashik,422222,3,3,0
01-09-2025,Maharashtra,Nashik,422303,5,2,0
01-09-2025,Maharashtra,Nashik,422305,3,0,0
01-09-2025,Maharashtra,Nashik,422403,4,2,0
01-09-2025,Maharashtra,Nashik,423104,3,1,0
01-09-2025,Maharashtra,Nashik,423105,4,5,0
01-09-2025,Maharashtra,Nashik,423106,4,3,1
01-09-2025,Maharashtra,Nashik,423108,1,0,0
01-09-2025,Maharashtra,Nashik,423201,2,1,0
01-09-2025,Maharashtra,Nashik,423208,3,0,0
01-09-2025,Maharashtra,Nashik,423303,1,0,0
01-09-2025,Maharashtra,Nashik,423501,2,0,0
03-09-2025,Maharashtra,Nashik,422004,1,0,0
03-09-2025,Maharashtra,Nashik,422006,2,0,0
03-09-2025,Maharashtra,Nashik,422007,10,1,0
03-09-2025,Maharashtra,Nashik,422102,2,0,0
03-09-2025,Maharashtra,Nashik,422104,2,0,0
03-09-2025,Maharashtra,Nashik,422203,2,2,0
03-09-2025,Maharashtra,Nashik,422204,1,0,0
03-09-2025,Maharashtra,Nashik,422205,3,0,0
03-09-2025,Maharashtra,Nashik,422208,3,4,0
03-09-2025,Maharashtra,Nashik,422212,1,0,0
03-09-2025,Maharashtra,Nashik,422305,4,2,0
03-09-2025,Maharashtra,Nashik,422401,2,1,0
03-09-2025,Maharashtra,Nashik,423102,3,1,0
03-09-2025,Maharashtra,Nashik,423202,1,1,0
03-09-2025,Maharashtra,Nashik,423212,1,1,0
03-09-2025,Maharashtra,Nashik,423403,1,1,0
02-09-2025,Maharashtra,Nashik,422002,3,0,0
02-09-2025,Maharashtra,Nashik,422006,2,4,0
02-09-2025,Maharashtra,Nashik,422007,9,0,0
02-09-2025,Maharashtra,Nashik,422012,1,5,0
02-09-2025,Maharashtra,Nashik,422105,2,0,0
02-09-2025,Maharashtra,Nashik,422211,7,3,0
02-09-2025,Maharashtra,Nashik,422302,4,1,0
02-09-2025,Maharashtra,Nashik,422305,1,0,0
